MessageText	OptionKey	OptionText	OptionMoodKey	OptionMoodValue
[Whoop]! Beautiful, [roro pofooie]! -Trade Empire	Whoop	Selling	Trading	5
		Negotiation	Trading	1
		Look	Trading	1
				
	roro pofooie	rare fur	Friendly 	1
		limited fluff	Confusing	1
		extinct animal	Friendly	-3
				
				
				
Regarding the [eooik] in the East part of the universe. We are sending out [uupopop] as soon as possible.				
	eooik	starvation	Friendly	2
		weight-reduction plan	Friendly	-5
		regimen	Confusing	2
				
	uupopop	food supplies	Friendly	1
		office supplies	Friendly	-1
		whatchamacallit	Confusing	1
				
If this [smolp] [nnopg] continues, there will be [qp].	smolp	childish	Friendly	-1
		innocuous	Confusing	1
		sterile	Confusing	1
				
	nnopg	name calling	Friendly	-1
		alias derogate	Friendly	-1
		nomenclature	Confusing	1
				
	qp	consequences	Friendly	-1
		a sequel	Confusing	3
		a morass	Confusing	1
				
				
We are glad that the [orkp] could be solved in a [cuop noym]. [Iiiol oill] for everyone.				
	orkp	conflict	Friendly	2
		battle royal	Friendly	-1
		shindig	Confusing	1
				
	cuop noym	civilized manner	Friendly	2
		laid-back surrender	Confusing	1
		idiosyncrasy traits	Friendly	-2
				
	Iiiol oill	Ice cream	Friendly	5
		Cold milk	Confusing	1
		Permafrost	Friendly	-4
				
The great Trade Empire [hupo] [rtootr].				
	hupo	declares	Friendly	-3
		swears	Friendly	-3
		curses	Friendly	5
				
	rtootr	war	Friendly	-5
		Inconvinience	Confusing	3
		Trade oppurtunity	Trading	5
				
We [oowip] [op op] to [ropp opopooo] in our universe.	oowip	plead	Friendly	4
		crawl	Friendly	1
		deign	Friendly	-2
				
	op op	an alliance	Friendly	4
		a marriage	Confusing	2
		a blood bond	Confusing	2
				
	ropp opopooo	keep the peace	Friendly	3
		hold the privilege	Friendly	-3
		grip the love	Confusing	3
				
Do you agree to our [opopooo] terms?	opopooo	peace	Friendly	4
		privilege	Friendly	-4
		love	Confusing	3
				
Do you have any [arorwp] to our [uu uu] letter?	arorwp	answer	Friendly	3
		rebuttal	Friendly	-1
		defense	Friendly	2
				
	uu uu	unity	Friendly	2
		fusion	Friendly	-2
		mixer	Confusing	3
				
We are [aoaoaoa] to see that the [uu up] of the universe is a priority.				
	aoaoaoa	delighted	Friendly	3
		in the twilight zone	Friendly	-3
		floating	Confusing	3
				
	uu up	union	Friendly	1
		hook-up	Confusing	1
		network	Trading	1
				
We are [co] by the fact that you seek [aosadfpg].	co	saddened	Friendly	2
		not complaining	Friendly	-4
		heartbroken	Confusing	3
				
	aosadfpg	chaos	Friendly	1
		topsy-turviness	Confusing	-2
		anarchy	Friendly	-1
				
[Orpo hue tomm p o p]?	Orpo hue tomm p o p	Who wants to trade	Trading	5
		Swiping and swaping anybody	Trading	3
		Let us argue	Friendly	-2
				
[Opi dopi].	Opi dopi	We accept	Trading	2
		Gospel truth	Friendly	4
		We swallow	Confusing	3
				
[Opi ooo].	Opi ooo	We decline	Friendly	2
		We defeat	Friendly	-2
		Belly flop	Confusing	2
				
[Toffp].	Toffp	The deal is off	Trading	-2
		You broke it	Confusing	1
		Cheapskate	Friendly	-2
